Stam  Attack  Defense  ##### Base Stats of All 1st gen pokemonGo sorted by N° #####
90 	126	126	
120	156	158
160	198	200
78	128	108
116	160	140
156	212	182
88	112	142
118	144	176
158	186	222
90	62	66
100	56	86
120	144	144
80	68	64
90	62	82
130	144	130
80	94	90
126	126	122
166	170	166
60	92	86
110	146	150
80	102	78
130	168	146
70	112	112
120	166	166
70	124	108
120	200	154
100	90	114
150	150	172
110	100	104
140	132	136
180	184	190
92	110	94
122	142	128
162	204	170
140	116	124
190	178	178
76	106	118
146	176	194
230	98	54
280	168	108
80	88	90
150	164	164
90	134	130
120	162	158
150	202	190
70	122	120
120	162	170
120	108	118
140	172	154
20	108	86
70	148	140
80	104	94
130	156	146
100	132	112
160	194	176
80	122	96
130	178	150
110	156	110
180	230	180
80	108	98
130	132	132
180	180	202
50	110	76
80	150	112
110	186	152
140	118	96
160	154	144
180	198	180
100	158	78
130	190	110
160	222	152
80	106	136
160	170	196
80	106	118
110	142	156
160	176	198
100	168	138
130	200	170
180	110	110
190	184	198
50	128	138
100	186	180
104	138	132
70	126	96
120	182	150
130	104	138
180	156	192
160	124	110
210	180	188
60	120	112
100	196	196
60	136	82
90	172	118
120	204	156
70	90	186
120	104	140
170	162	196
60	116	110
110	178	168
80	102	124
120	150	174
120	110	132
190	232	164
100	102	150
120	140	202
100	148	172
100	138	204
180	126	160
80	136	142
130	190	198
160	110	116
210	166	160
500	40	60
130	164	152
210	142	178
60	122	100
110	176	150
90	112	126
160	172	160
60	130	128
120	194	192
80	154	196
140	176	180
130	172	134
130	198	160
130	214	158
130	184	186
150	148	184
40	42	84
190	192	196
260	186	190
96	110	110
110	114	128
260	186	168
130	192	174
130	238	178
130	156	158
70	132	160
140	180	202
60	148	142
120	190	190
160	182	162
320	180	180
180	198	242
180	232	194
180	242	194
82	128	110
122	170	152
182	250	212
212	284	202
200	220	220
